"Teff","Lum","Mass","Radius","Age"
628,-5.37,0.0005,0.176,1
942,-4.715,0.001,0.166,1
1285,-4.137,0.002,0.174,1
1553,-3.746,0.003,0.187,1
1747,-3.482,0.004,0.2,1
1901,-3.273,0.005,0.215,1
2004,-3.129,0.006,0.228,1
2098,-2.998,0.007,0.242,1
2159,-2.893,0.008,0.258,1
2207,-2.811,0.009,0.271,1
2251,-2.735,0.01,0.285,1
2321,-2.615,0.012,0.307,1
2400,-2.455,0.015,0.345,1
2484,-2.28,0.02,0.395,1
2598,-2.174,0.03,0.408,1
2746,-1.939,0.04,0.478,1
2768,-1.637,0.05,0.666,1
2824,-1.604,0.06,0.665,1
2853,-1.478,0.07,0.753,1
2858,-1.455,0.072,0.771,1
2833,-1.389,0.075,0.847,1
2869,-1.373,0.08,0.84,1
2867,-1.289,0.09,0.927,1
2856,-1.187,0.1,1.051,1
455,-6.079,0.0005,0.148,5
644,-5.522,0.001,0.141,5
901,-4.92,0.002,0.143,5
1098,-4.552,0.003,0.148,5
1263,-4.283,0.004,0.152,5
1413,-4.061,0.005,0.157,5
1543,-3.886,0.006,0.161,5
1668,-3.725,0.007,0.166,5
1786,-3.579,0.008,0.171,5
1885,-3.46,0.009,0.176,5
1965,-3.363,0.01,0.181,5
2102,-3.194,0.012,0.192,5
2264,-2.981,0.015,0.212,5
2452,-2.661,0.02,0.261,5
2616,-2.262,0.03,0.363,5
2754,-2.068,0.04,0.41,5
2806,-1.846,0.05,0.51,5
2875,-1.902,0.06,0.455,5
2916,-1.829,0.07,0.481,5
2921,-1.814,0.072,0.488,5
2912,-1.716,0.075,0.55,5
2946,-1.76,0.08,0.51,5
2974,-1.696,0.09,0.54,5
2983,-1.582,0.1,0.611,5
394,-6.38,0.0005,0.14,10
540,-5.87,0.001,0.134,10
746,-5.298,0.002,0.136,10
920,-4.914,0.003,0.139,10
1064,-4.645,0.004,0.141,10
1193,-4.429,0.005,0.144,10
1316,-4.244,0.006,0.147,10
1426,-4.091,0.007,0.149,10
1536,-3.945,0.008,0.152,10
1635,-3.82,0.009,0.155,10
1731,-3.704,0.01,0.158,10
1915,-3.488,0.012,0.165,10
2188,-3.125,0.015,0.192,10
2442,-2.709,0.02,0.249,10
2622,-2.435,0.03,0.296,10
2734,-2.411,0.04,0.28,10
2821,-2.233,0.05,0.323,10
2871,-2.188,0.06,0.328,10
2919,-2.099,0.07,0.352,10
2927,-2.083,0.072,0.357,10
2942,-2.022,0.075,0.379,10
2958,-2.016,0.08,0.377,10
2993,-1.943,0.09,0.401,10
3024,-1.854,0.1,0.435,10
285,-7.069,0.0005,0.12,50
375,-6.587,0.001,0.122,50
491,-6.1,0.002,0.124,50
585,-5.789,0.003,0.125,50
676,-5.531,0.004,0.126,50
756,-5.336,0.005,0.126,50
840,-5.152,0.006,0.126,50
928,-4.978,0.007,0.127,50
1010,-4.832,0.008,0.127,50
1085,-4.706,0.009,0.127,50
1171,-4.569,0.01,0.127,50
1520,-4.052,0.012,0.137,50
1903,-3.568,0.015,0.153,50
1909,-3.642,0.02,0.139,50
2246,-3.311,0.03,0.147,50
2480,-3.08,0.04,0.158,50
2651,-2.884,0.05,0.173,50
2759,-2.755,0.06,0.185,50
2837,-2.647,0.07,0.198,50
2852,-2.623,0.072,0.202,50
2872,-2.591,0.075,0.206,50
2901,-2.551,0.08,0.212,50
2948,-2.472,0.09,0.225,50
2989,-2.397,0.1,0.238,50
240,-7.418,0.0005,0.114,100
309,-6.957,0.001,0.117,100
425,-6.383,0.002,0.12,100
493,-6.112,0.003,0.121,100
563,-5.88,0.004,0.122,100
630,-5.686,0.005,0.122,100
688,-5.534,0.006,0.121,100
760,-5.365,0.007,0.121,100
816,-5.246,0.008,0.12,100
886,-5.103,0.009,0.12,100
953,-4.978,0.01,0.12,100
1335,-4.332,0.012,0.129,100
1399,-4.281,0.015,0.124,100
1561,-4.11,0.02,0.122,100
1979,-3.668,0.03,0.126,100
2270,-3.386,0.04,0.132,100
2493,-3.167,0.05,0.141,100
